Data,Cidade,Condicao_do_Tempo_Prevista,Temperatura_Tendencia,Temperatura_Minima,Temperatura_Maxima,Vento_Velocidade_Minima,Vento_Velocidade_Maxima,Vento_Direcao,Vento_Intensidade
18/10/2022,Abaetetuba - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas isoladas a tarde e a noite,Estavel,25,33,60,100,E - NE,Fracos/Moderados
19/10/2022,Abaetetuba - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas isoladas entre o final da tarde e o inicio da noite,Estavel,25,33,60,100,E - NE,Fracos/Moderados
20/10/2022,Abaetetuba - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas isoladas entre o final da tarde e o inicio da noite,Estavel,25,33,60,100,E - NE,Fracos/Moderados
21/10/2022,Abaetetuba - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas isoladas entre o final da tarde e o inicio da noite,Estavel,25,33,60,100,E - NE,Fracos/Moderados
22/10/2022,Abaetetuba - PA,Poucas nuvens a nublado,Estavel,25,33,50,95,E - NE,Fracos/Moderados
23/10/2022,Abaetetuba - PA,Poucas nuvens a nublado com pancadas de chuva isoladas ao final da tarde,Estavel,25,33,50,95,E - NE,Fracos/Moderados
24/10/2022,Abaetetuba - PA,Poucas nuvens a nublado com pancadas de chuva isoladas ao final da tarde,Estavel,25,33,50,95,E - NE,Fracos/Moderados
25/10/2022,Abaetetuba - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas isoladas a tarde,Estavel,25,35,55,100,E - NE,Fracos/Moderados
26/10/2022,Abaetetuba - PA,Parcialmente nublado a nublado com chuva e trovoadas a tarde,Declinio,25,32,65,100,E - NE,Fracos/Moderados
27/10/2022,Abaetetuba - PA,Parcialmente nublado a nublado com chuva e trovoadas a tarde,Estavel,25,32,60,100,E - NE,Fracos/Moderados
28/10/2022,Abaetetuba - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas isoladas a tarde,Estavel,25,32,60,100,E - NE,Fracos/Moderados
29/10/2022,Abaetetuba - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas isoladas a tarde,Estavel,25,32,60,100,E - NE,Fracos/Moderados
30/10/2022,Abaetetuba - PA,Poucas nuvens a nublado,Estavel,25,33,60,100,E - NE,Fracos/Moderados
31/10/2022,Abaetetuba - PA,Poucas nuvens a nublado com possibilidade de chuva em areas isoladas a tarde,Estavel,25,34,60,100,E - NE,Fracos/Moderados
04/10/2022,Abel Figueiredo - PA,Claro a parcialmente nublado,Estavel,22,34,35,95,E,Fracos/Moderados
05/10/2022,Abel Figueiredo - PA,Claro a parcialmente nublado,Estavel,22,34,35,95,E,Fracos/Moderados
06/10/2022,Abel Figueiredo - PA,Claro a parcialmente nublado,Estavel,22,34,35,95,E,Fracos/Moderados
07/10/2022,Abel Figueiredo - PA,Claro a parcialmente nublado,Estavel,22,34,35,95,E,Fracos/Moderados
08/10/2022,Abel Figueiredo - PA,Claro a parcialmente nublado,Estavel,22,34,45,95,E,Fracos/Moderados
09/10/2022,Abel Figueiredo - PA,Parcialmente nublado a nublado com pancadas de chuva isoladas a tarde e a noite,Estavel,24,32,55,95,E,Fracos/Moderados
10/10/2022,Abel Figueiredo - PA,Poucas nuvens a parcialmente nublado com chuva em areas isoladas a qualquer hora do dia,Estavel,24,34,40,95,NE - SE,Fracos/Moderados
11/10/2022,Abel Figueiredo - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas isoladas a tarde,Estavel,23,32,55,100,NE - E,Fracos/Moderados
13/10/2022,Abel Figueiredo - PA,Poucas nuvens a nublado,Estavel,23,34,55,95,NE - E,Fracos/Moderados
14/10/2022,Abel Figueiredo - PA,Claro a parcialmente nublado,Estavel,22,35,45,95,NE - E,Fracos/Moderados
15/10/2022,Abel Figueiredo - PA,Parcialmente nublado a nublado com chuva e trovoadas a tarde e a noite,Declinio,23,33,55,100,NE - E,Fracos/Moderados
16/10/2022,Abel Figueiredo - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas a tarde,Estavel,23,32,55,100,NE - E,Fracos/Moderados
17/10/2022,Abel Figueiredo - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas isoladas a tarde,Estavel,23,32,55,100,NE - E,Fracos/Moderados
18/10/2022,Abel Figueiredo - PA,Poucas nuvens a nublado,Estavel,23,33,50,95,NE - E,Fracos/Moderados
19/10/2022,Abel Figueiredo - PA,Poucas nuvens a nublado,Estavel,22,33,50,95,NE - E,Fracos/Moderados
20/10/2022,Abel Figueiredo - PA,Parcialmente nublado a nublado,Estavel,22,33,50,95,NE - E,Fracos/Moderados
21/10/2022,Abel Figueiredo - PA,Parcialmente nublado a nublado com pancadas de chuva isoladas a tarde,Estavel,22,33,50,95,NE - E,Fracos/Moderados
22/10/2022,Abel Figueiredo - PA,Parcialmente nublado a nublado com pancadas de chuva isoladas a tarde,Estavel,22,33,50,95,NE - E,Fracos/Moderados
23/10/2022,Abel Figueiredo - PA,Parcialmente nublado a nublado com chuva e trovoadas a tarde e a noite,Estavel,22,32,50,100,NE - E,Fracos/Moderados
24/10/2022,Abel Figueiredo - PA,Parcialmente nublado a nublado com pancadas de chuva a tarde e a noite,Estavel,22,33,50,95,NE - E,Fracos/Moderados
25/10/2022,Abel Figueiredo - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas isoladas a tarde,Estavel,23,34,55,95,NE - E,Fracos/Moderados
26/10/2022,Abel Figueiredo - PA,Nublado a parcialmente nublado com chuva e trovoadas a qualquer hora do dia,Declinio,23,32,65,100,SE - NE,Fracos/Moderados
27/10/2022,Abel Figueiredo - PA,Nublado a parcialmente nublado com chuva e trovoadas a qualquer hora do dia,Estavel,23,31,65,100,SE - NE,Fracos/Moderados
28/10/2022,Abel Figueiredo - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas isoladas a tarde,Elevacao,23,33,60,100,SE - NE,Fracos/Moderados
29/10/2022,Abel Figueiredo - PA,Poucas nuvens a nublado,Estavel,23,33,60,100,SE - NE,Fracos/Moderados
30/10/2022,Abel Figueiredo - PA,Poucas nuvens a nublado,Estavel,23,34,55,95,SE - NE,Fracos/Moderados
31/10/2022,Abel Figueiredo - PA,Poucas nuvens a nublado,Estavel,23,34,55,95,SE - NE,Fracos/Moderados
04/10/2022,Acara - PA,Poucas nuvens a nublado com pancadas de chuva a tarde,Estavel,23,34,45,95,SE - E,Fracos/Moderados
05/10/2022,Acara - PA,Poucas nuvens a nublado com pancadas de chuva a tarde,Estavel,23,34,45,95,SE - E,Fracos/Moderados
06/10/2022,Acara - PA,Poucas nuvens a nublado com pancadas de chuva a tarde,Estavel,23,34,45,95,SE - E,Fracos/Moderados
07/10/2022,Acara - PA,Poucas nuvens a nublado com pancadas de chuva a tarde,Estavel,23,34,45,95,SE - E,Fracos/Moderados
08/10/2022,Acara - PA,Poucas nuvens a nublado,Estavel,23,34,45,95,SE - E,Fracos/Moderados
09/10/2022,Acara - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas isoladas a tarde e a noite,Estavel,24,32,55,95,SE - E,Fracos/Moderados
10/10/2022,Acara - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas isoladas a tarde e a noite,Estavel,25,34,50,95,SE - NE,Fracos/Moderados
11/10/2022,Acara - PA,Poucas nuvens a nublado,Estavel,23,34,50,100,E - NE,Fracos/Moderados
13/10/2022,Acara - PA,Poucas nuvens a nublado,Estavel,23,34,50,95,E - NE,Fracos/Moderados
14/10/2022,Acara - PA,Claro a nublado com pancadas de chuva e trovoadas a tarde,Estavel,23,34,50,95,E - NE,Fracos/Moderados
15/10/2022,Acara - PA,Claro a nublado com pancadas de chuva e trovoadas a tarde,Estavel,23,34,55,100,E - NE,Fracos/Moderados
16/10/2022,Acara - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas a tarde,Estavel,23,33,55,100,E - NE,Fracos/Moderados
17/10/2022,Acara - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas isoladas a tarde,Estavel,23,33,55,100,E - NE,Fracos/Moderados
18/10/2022,Acara - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas isoladas a tarde e a noite,Estavel,23,33,55,100,E - NE,Fracos/Moderados
19/10/2022,Acara - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas isoladas entre o final da tarde e o inicio da noite,Estavel,23,33,55,100,E - NE,Fracos/Moderados
20/10/2022,Acara - PA,Poucas nuvens a nublado,Estavel,23,33,55,100,E - NE,Fracos/Moderados
21/10/2022,Acara - PA,Poucas nuvens a nublado,Estavel,23,34,50,100,E - NE,Fracos/Moderados
22/10/2022,Acara - PA,Poucas nuvens a nublado,Estavel,23,34,50,100,E - NE,Fracos/Moderados
23/10/2022,Acara - PA,Poucas nuvens a nublado,Estavel,23,34,45,95,E - NE,Fracos/Moderados
24/10/2022,Acara - PA,Poucas nuvens a nublado,Estavel,23,34,45,95,E - NE,Fracos/Moderados
25/10/2022,Acara - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas isoladas a tarde,Estavel,23,34,50,95,E - NE,Fracos/Moderados
26/10/2022,Acara - PA,Parcialmente nublado a nublado com chuva e trovoadas a tarde,Declinio,23,32,60,100,E - NE,Fracos/Moderados
27/10/2022,Acara - PA,Parcialmente nublado a nublado com chuva e trovoadas a tarde,Estavel,23,32,60,100,E - NE,Fracos/Moderados
28/10/2022,Acara - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas isoladas a tarde,Estavel,23,32,55,100,E - NE,Fracos/Moderados
29/10/2022,Acara - PA,Poucas nuvens a nublado,Estavel,23,33,60,100,E - NE,Fracos/Moderados
30/10/2022,Acara - PA,Poucas nuvens a nublado,Estavel,23,33,55,95,E - NE,Fracos/Moderados
31/10/2022,Acara - PA,Poucas nuvens a nublado,Estavel,23,33,55,95,E - NE,Fracos/Moderados
04/10/2022,Acrelandia - AC,Parcialmente nublado a nublado com pancadas de chuva e trovoadas isoladas,Estavel,22,35,45,95,NW,Fracos
05/10/2022,Acrelandia - AC,Claro a parcialmente nublado com pancadas de chuva e trovoadas isoladas,Estavel,22,36,45,95,NW - N,Fracos
06/10/2022,Acrelandia - AC,Parcialmente nublado a nublado com pancadas de chuva e trovoadas isoladas,Estavel,22,35,45,95,NW - NE,Fracos
07/10/2022,Acrelandia - AC,Nublado a encoberto com chuva,Declinio,22,30,65,100,SE - S,Fracos
08/10/2022,Acrelandia - AC,Nublado a encoberto com chuva,Estavel,21,29,70,100,NW,Fracos
09/10/2022,Acrelandia - AC,Nublado com pancadas de chuva e trovoadas,Estavel,21,32,60,100,NW - NE,Fracos
10/10/2022,Acrelandia - AC,Nublado com pancadas de chuva e trovoadas,Estavel,22,32,60,100,NW - NE,Fracos
11/10/2022,Acrelandia - AC,Poucas nuvens a nublado com pancadas de chuva e trovoadas a tarde e a noite,Estavel,23,34,55,95,NW - NE,Fracos
12/10/2022,Acrelandia - AC,Parcialmente nublado a nublado com pancadas de chuva e trovoadas a tarde e a noite,Estavel,21,32,55,95,NW - NE,Fracos
13/10/2022,Acrelandia - AC,Parcialmente nublado a nublado com pancadas de chuva e trovoadas a tarde e a noite,Estavel,22,33,55,95,NW - NE,Fracos
14/10/2022,Acrelandia - AC,Parcialmente nublado a nublado com pancadas de chuva e trovoadas isoladas entre o final da tarde e o inicio da noite,Estavel,22,32,60,100,NE,Fracos
15/10/2022,Acrelandia - AC,Parcialmente nublado a nublado com pancadas de chuva e trovoadas isoladas a qualquer hora do dia,Estavel,22,31,60,100,NE,Fracos
16/10/2022,Acrelandia - AC,Parcialmente nublado a nublado com pancadas de chuva e trovoadas isoladas a qualquer hora do dia,Estavel,22,31,60,100,NE,Fracos
17/10/2022,Acrelandia - AC,Parcialmente nublado com pancadas de chuva isoladas a qualquer hora do dia,Estavel,22,31,60,100,NE,Fracos
18/10/2022,Acrelandia - AC,Parcialmente nublado com pancadas de chuva isoladas a qualquer hora do dia,Estavel,22,32,60,100,NE,Fracos
19/10/2022,Acrelandia - AC,Parcialmente nublado com pancadas de chuva isoladas a qualquer hora do dia,Estavel,22,32,60,100,NE,Fracos
20/10/2022,Acrelandia - AC,Parcialmente nublado com pancadas de chuva isoladas a qualquer hora do dia,Estavel,23,32,55,95,NE,Fracos
21/10/2022,Acrelandia - AC,Parcialmente nublado com pancadas de chuva isoladas a qualquer hora do dia,Estavel,23,33,55,95,NE,Fracos
22/10/2022,Acrelandia - AC,Poucas nuvens a parcialmente nublado com pancadas de chuva e trovoadas isoladas entre o final da tarde e o inicio da noite,Estavel,23,33,55,90,NE,Fracos
23/10/2022,Acrelandia - AC,Poucas nuvens a parcialmente nublado com pancadas de chuva e trovoadas isoladas entre o final da tarde e o inicio da noite,Estavel,23,33,55,90,NE,Fracos
24/10/2022,Acrelandia - AC,Poucas nuvens a parcialmente nublado com pancadas de chuva e trovoadas isoladas entre o final da tarde e o inicio da noite,Estavel,23,33,55,90,NE,Fracos
25/10/2022,Acrelandia - AC,Nublado com pancadas de chuva e trovoadas,Estavel,22,29,60,100,W - NW,Fracos
26/10/2022,Acrelandia - AC,Parcialmente nublado a nublado com pancadas de chuva e trovoadas isoladas,Estavel,23,32,55,100,NW - N,Fracos
27/10/2022,Acrelandia - AC,Parcialmente nublado a nublado com pancadas de chuva e trovoadas isoladas,Estavel,23,34,50,95,NW - N,Fracos
28/10/2022,Acrelandia - AC,Nublado a encoberto com chuva,Estavel,22,29,70,100,NW - N,Fracos
29/10/2022,Acrelandia - AC,Nublado com pancadas de chuva e trovoadas,Estavel,22,31,60,100,NW - N,Fracos
30/10/2022,Acrelandia - AC,Parcialmente nublado a nublado com pancadas de chuva e trovoadas,Estavel,22,32,55,100,NW - N,Fracos
04/10/2022,Afua - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas a tarde,Estavel,24,33,55,95,SE - E,Fracos/Moderados
05/10/2022,Afua - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas isoladas entre o final da tarde e o inicio da noite,Estavel,24,33,55,95,SE - E,Fracos/Moderados
06/10/2022,Afua - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas isoladas entre o final da tarde e o inicio da noite,Estavel,24,33,55,95,SE - E,Fracos/Moderados
07/10/2022,Afua - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas isoladas a noite,Estavel,24,33,55,95,SE - E,Fracos/Moderados
08/10/2022,Afua - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas isoladas a noite,Estavel,24,33,55,95,SE - E,Fracos/Moderados
09/10/2022,Afua - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas isoladas a tarde e a noite,Estavel,25,32,55,100,SE - E,Fracos/Moderados
10/10/2022,Afua - PA,Poucas nuvens a nublado com chuva em areas isoladas a tarde e a noite,Declinio,25,31,60,95,SE - E,Fracos/Moderados
11/10/2022,Afua - PA,Poucas nuvens a nublado,Estavel,23,34,55,100,E - NE,Fracos/Moderados
13/10/2022,Afua - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas isoladas a tarde,Estavel,23,35,55,95,E - NE,Fracos/Moderados
14/10/2022,Afua - PA,Claro a nublado com pancadas de chuva e trovoadas a tarde e a noite,Estavel,23,34,55,100,E - NE,Fracos/Moderados
15/10/2022,Afua - PA,Claro a nublado com pancadas de chuva e trovoadas a tarde,Estavel,23,34,55,100,E - NE,Fracos/Moderados
16/10/2022,Afua - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas a tarde,Estavel,23,34,60,100,E - NE,Fracos/Moderados
17/10/2022,Afua - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas a tarde,Estavel,23,34,60,100,E - NE,Fracos/Moderados
18/10/2022,Afua - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas isoladas a tarde e a noite,Estavel,24,33,60,100,E - NE,Fracos/Moderados
19/10/2022,Afua - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas isoladas a tarde,Estavel,24,33,60,100,E - NE,Fracos/Moderados
20/10/2022,Afua - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas isoladas a tarde,Estavel,24,33,60,100,E - NE,Fracos/Moderados
21/10/2022,Afua - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas isoladas a tarde,Estavel,24,33,60,100,E - NE,Fracos/Moderados
22/10/2022,Afua - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas isoladas a tarde,Estavel,24,33,60,100,E - NE,Fracos/Moderados
23/10/2022,Afua - PA,Poucas nuvens a nublado com pancadas de chuva isoladas a noite,Estavel,24,33,55,95,E - NE,Fracos/Moderados
24/10/2022,Afua - PA,Poucas nuvens a nublado com pancadas de chuva isoladas a noite,Estavel,24,33,55,95,E - NE,Fracos/Moderados
25/10/2022,Afua - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas a tarde,Estavel,23,35,55,95,E - NE,Fracos/Moderados
26/10/2022,Afua - PA,Nublado a parcialmente nublado com chuva e trovoadas a qualquer hora do dia,Declinio,23,31,65,100,E - NE,Fracos/Moderados
27/10/2022,Afua - PA,Parcialmente nublado a nublado com chuva e trovoadas a tarde,Estavel,23,30,60,100,E - NE,Fracos/Moderados
28/10/2022,Afua - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas isoladas a tarde,Estavel,23,33,55,100,E - NE,Fracos/Moderados
29/10/2022,Afua - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas isoladas a tarde,Estavel,23,32,60,100,E - NE,Fracos/Moderados
30/10/2022,Afua - PA,Poucas nuvens a nublado com possibilidade de chuva em areas isoladas a tarde,Elevacao,23,34,60,100,E - NE,Fracos/Moderados
31/10/2022,Afua - PA,Poucas nuvens a nublado com possibilidade de chuva em areas isoladas a tarde,Estavel,23,34,60,100,E - NE,Fracos/Moderados
04/10/2022,Agua Azul do Norte - PA,Poucas nuvens a nublado,Estavel,20,35,35,95,NE - SE,Fracos/Moderados
05/10/2022,Agua Azul do Norte - PA,Poucas nuvens a nublado,Estavel,20,35,35,95,NE - SE,Fracos/Moderados
06/10/2022,Agua Azul do Norte - PA,Poucas nuvens a nublado,Estavel,20,35,35,95,NE - SE,Fracos/Moderados
07/10/2022,Agua Azul do Norte - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas isoladas a tarde,Estavel,20,35,35,95,NE - SE,Fracos/Moderados
08/10/2022,Agua Azul do Norte - PA,Poucas nuvens a nublado,Estavel,20,35,35,95,NE - SE,Fracos/Moderados
09/10/2022,Agua Azul do Norte - PA,Poucas nuvens a nublado com pancadas de chuva isoladas a tarde e a noite,Estavel,20,35,40,95,NE - SE,Fracos/Moderados
10/10/2022,Agua Azul do Norte - PA,Poucas nuvens a parcialmente nublado com chuva em areas isoladas a qualquer hora do dia,Estavel,24,34,40,95,NE - SE,Fracos/Moderados
11/10/2022,Agua Azul do Norte - PA,Nublado a parcialmente nublado com chuva e trovoadas a qualquer hora do dia,Estavel,23,31,60,100,SE - NE,Fracos/Moderados
13/10/2022,Agua Azul do Norte - PA,Poucas nuvens a nublado,Estavel,23,33,60,95,SE - NE,Fracos/Moderados
14/10/2022,Agua Azul do Norte - PA,Claro a parcialmente nublado,Estavel,23,36,50,90,SE - NE,Fracos/Moderados
15/10/2022,Agua Azul do Norte - PA,Parcialmente nublado a nublado com chuva e trovoadas a tarde e a noite,Declinio,23,33,60,100,E - NE,Fracos/Moderados
16/10/2022,Agua Azul do Norte - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas a tarde,Estavel,23,32,60,100,E - NE,Fracos/Moderados
17/10/2022,Agua Azul do Norte - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas isoladas a tarde,Estavel,23,32,60,100,E - NE,Fracos/Moderados
18/10/2022,Agua Azul do Norte - PA,Poucas nuvens a nublado,Estavel,23,34,50,95,E - NE,Fracos/Moderados
19/10/2022,Agua Azul do Norte - PA,Poucas nuvens a nublado,Estavel,23,34,50,95,E - NE,Fracos/Moderados
20/10/2022,Agua Azul do Norte - PA,Poucas nuvens a nublado,Estavel,23,34,50,95,E - NE,Fracos/Moderados
21/10/2022,Agua Azul do Norte - PA,Poucas nuvens a nublado,Estavel,23,35,45,95,E - NE,Fracos/Moderados
22/10/2022,Agua Azul do Norte - PA,Encoberto a nublado com chuva e trovoadas a qualquer hora do dia,Estavel,23,32,60,100,E - NE,Fracos/Moderados
23/10/2022,Agua Azul do Norte - PA,Encoberto a nublado com chuva e trovoadas a qualquer hora do dia,Estavel,23,32,60,100,E - NE,Fracos/Moderados
24/10/2022,Agua Azul do Norte - PA,Parcialmente nublado a nublado com chuva e trovoadas a tarde e a noite,Estavel,23,32,55,100,E - NE,Fracos/Moderados
25/10/2022,Agua Azul do Norte - PA,Nublado a parcialmente nublado com chuva e trovoadas a qualquer hora do dia,Declinio,23,30,60,100,SW - NE,Fracos/Moderados
26/10/2022,Agua Azul do Norte - PA,Parcialmente nublado a nublado com chuva e trovoadas a tarde,Elevacao,23,33,60,100,SE - NE,Fracos/Moderados
27/10/2022,Agua Azul do Norte - PA,Parcialmente nublado a nublado com chuva e trovoadas a tarde e a noite,Estavel,23,32,60,100,SE - NE,Fracos/Moderados
28/10/2022,Agua Azul do Norte - PA,Nublado a parcialmente nublado com chuva e trovoadas a qualquer hora do dia,Estavel,23,31,65,100,SE - NE,Fracos/Moderados
29/10/2022,Agua Azul do Norte - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas isoladas a tarde e a noite,Estavel,23,32,60,100,SE - NE,Fracos/Moderados
30/10/2022,Agua Azul do Norte - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas a tarde,Estavel,23,32,60,100,SE - NE,Fracos/Moderados
31/10/2022,Agua Azul do Norte - PA,Nublado a parcialmente nublado com chuva e trovoadas a qualquer hora do dia,Estavel,23,31,60,100,SE - NE,Fracos/Moderados
04/10/2022,Alcantara - MA,Parcialmente nublado com possibilidade de chuva em areas isoladas a tarde,Estavel,26,33,50,95,E - NE,Fracos/Moderados
05/10/2022,Alcantara - MA,Claro a parcialmente nublado,Estavel,26,33,50,90,NE - E,Fracos/Moderados
06/10/2022,Alcantara - MA,Claro a parcialmente nublado,Estavel,26,33,50,90,NE - E,Fracos/Moderados
07/10/2022,Alcantara - MA,Claro a parcialmente nublado,Estavel,26,33,50,90,NE - E,Fracos/Moderados
08/10/2022,Alcantara - MA,Poucas nuvens a parcialmente nublado,Estavel,26,32,55,95,NE - E,Fracos/Moderados
09/10/2022,Alcantara - MA,Claro a parcialmente nublado,Estavel,26,33,50,90,NE - E,Fracos/Moderados
10/10/2022,Alcantara - MA,Poucas nuvens a nublado com pancadas de chuva e trovoadas isoladas a tarde,Estavel,26,32,55,95,NE - E,Fracos/Moderados
11/10/2022,Alcantara - MA,Poucas nuvens a nublado,Estavel,26,33,55,95,NE - E,Fracos/Moderados
12/10/2022,Alcantara - MA,Poucas nuvens a nublado,Estavel,27,33,50,95,NE - E,Fracos/Moderados
13/10/2022,Alcantara - MA,Poucas nuvens a nublado com pancadas de chuva isoladas a tarde,Estavel,27,33,50,95,NE - E,Fracos/Moderados
14/10/2022,Alcantara - MA,Poucas nuvens a nublado com pancadas de chuva isoladas a tarde,Estavel,27,33,50,95,NE - E,Fracos/Moderados
15/10/2022,Alcantara - MA,Poucas nuvens a nublado com pancadas de chuva isoladas a tarde,Estavel,27,33,50,95,NE - E,Fracos/Moderados
16/10/2022,Alcantara - MA,Poucas nuvens a nublado com pancadas de chuva isoladas a tarde,Estavel,27,33,50,95,NE - E,Fracos/Moderados
17/10/2022,Alcantara - MA,Poucas nuvens a nublado com pancadas de chuva isoladas a tarde,Estavel,27,33,50,95,NE - E,Fracos/Moderados
18/10/2022,Alcantara - MA,Claro a nublado com pancadas de chuva isoladas a tarde,Estavel,25,33,60,95,SE - E,Fracos/Moderados
19/10/2022,Alcantara - MA,Poucas nuvens a nublado com pancadas de chuva isoladas a tarde,Estavel,25,33,60,95,SE - E,Fracos/Moderados
20/10/2022,Alcantara - MA,Claro a nublado,Estavel,24,33,60,95,SE - E,Fracos/Moderados
21/10/2022,Alcantara - MA,Claro a nublado com pancadas de chuva e trovoadas a tarde,Estavel,24,32,65,95,SE - E,Fracos/Moderados
22/10/2022,Alcantara - MA,Claro a nublado,Estavel,24,32,65,95,SE - E,Fracos/Moderados
23/10/2022,Alcantara - MA,Claro a nublado,Estavel,24,32,65,95,SE - E,Fracos/Moderados
24/10/2022,Alcantara - MA,Claro a nublado,Estavel,25,32,65,95,SE - E,Fracos/Moderados
25/10/2022,Alcantara - MA,Poucas nuvens a parcialmente nublado,Estavel,25,31,65,95,SE - E,Fracos/Moderados
26/10/2022,Alcantara - MA,Poucas nuvens a parcialmente nublado,Estavel,25,31,65,95,SE - E,Fracos/Moderados
27/10/2022,Alcantara - MA,Poucas nuvens a parcialmente nublado,Estavel,25,31,65,95,SE - E,Fracos/Moderados
28/10/2022,Alcantara - MA,Poucas nuvens a parcialmente nublado,Estavel,26,32,65,95,SE - E,Fracos/Moderados
29/10/2022,Alcantara - MA,Parcialmente nublado a nublado,Estavel,26,33,50,95,SE - E,Fracos/Moderados
30/10/2022,Alcantara - MA,Parcialmente nublado a nublado,Estavel,26,33,50,95,SE - E,Fracos/Moderados
31/10/2022,Alcantara - MA,Poucas nuvens a parcialmente nublado,Estavel,26,33,50,85,NE - E,Fracos
04/10/2022,Alenquer - PA,Claro a nublado com pancadas de chuva e trovoadas isoladas a tarde e a noite,Estavel,23,33,55,95,E - SE,Fracos/Moderados
